id,Star_name,Distance,Mass,Radius
0,54 Piscium,36.1,53,0.7987
1,54 Piscium,36.1,53,0.7987
2,54 Piscium,36.1,53,0.7987
3,54 Piscium,36.1,53,0.7987
4,54 Piscium,36.1,53,0.7987
5,54 Piscium,36.1,53,0.7987
6,54 Piscium,36.1,53,0.7987
7,54 Piscium,36.1,53,0.7987
8,54 Piscium,36.1,53,0.7987
9,54 Piscium,36.1,53,0.7987
10,54 Piscium,36.1,53,0.7987
11,54 Piscium,36.1,53,0.7987
12,54 Piscium,36.1,53,0.7987
13,54 Piscium,36.1,53,0.7987
14,81 Cancri,66,,
15,81 Cancri,66,,
16,81 Cancri,66,,
17,81 Cancri,66,,
18,81 Cancri,66,,
19,81 Cancri,66,,
20,81 Cancri,66,,
21,81 Cancri,66,,
22,81 Cancri,66,,
23,81 Cancri,66,,
24,81 Cancri,66,,
25,81 Cancri,66,,
26,81 Cancri,66,,
27,81 Cancri,66,,
28,AB Pictoris,66.6,13.5,
29,AB Pictoris,66.6,13.5,
30,AB Pictoris,66.6,13.5,
31,AB Pictoris,66.6,13.5,
32,AB Pictoris,66.6,13.5,
33,AB Pictoris,66.6,13.5,
34,AB Pictoris,66.6,13.5,
35,AB Pictoris,66.6,13.5,
36,AB Pictoris,66.6,13.5,
37,AB Pictoris,66.6,13.5,
38,AB Pictoris,66.6,13.5,
39,AB Pictoris,66.6,13.5,
40,AB Pictoris,66.6,13.5,
41,AB Pictoris,66.6,13.5,
42,CD−33°7795,163.08,20,
43,CD−33°7795,163.08,20,
44,CD−33°7795,163.08,20,
45,CD−33°7795,163.08,20,
46,CD−33°7795,163.08,20,
